,Gaceta,Tipo de Cambio,Precio Referencia Internacional,Precio Referencia Internacional en colones,Otros Ingresos Prorrateados,Asignación Subsidio Pescadores,Asignación subsidio Política Sectorial,Subsidio Pescadores,Subsidio Política Sectorial,Diferencial de precios,Impuesto Único,Canon,Margen de operación de Recope,Rendimiento sobre Base Tarifaria,Precio en terminal sin impuesto,Precio en terminal con impuesto,Precio final sin punto fijo Peddlers,Margen Estaciones Terrestres,Margen Estaciones Aéreas,Flete estaciones de servicio,Margen Envasador,Precio final en estaciones de servicio,Margen Distribuidor y Agencias,Margen Detallista,Precio gas por litro en detallistas
Precio en terminal con impuesto,0.04556096433038856,0.41139187138310884,0.4126028613725177,0.4457469627495793,-0.013235159096680181,0.19430203179973074,0.38702782698619886,0.02703237436281995,0.2970729161723722,-0.21234403629928972,0.7290963474160786,0.10265562851519479,0.450442175478298,0.2511005062844976,0.9328916616055457,1.0,0.3648933603208669,0.3230499668181457,0.4644262676235748,0.4388877040057985,-0.254935803371679,0.7184010518481236,-0.2549358033716798,-0.2549358033716809,-0.23953364750722908
Precio final sin punto fijo Peddlers,0.027897771221565185,0.11259367768587954,0.13023362466232663,0.12635615182228294,-0.02442461548035256,0.21987414912174236,0.32860380115385585,0.1774430563555738,0.15496354962213205,-0.007997772335791747,0.3904410197815103,0.038760864650579964,0.018279753432068568,0.11494662298218661,0.2554466056922665,0.3648933603208669,1.0,0.5514566621458343,-0.2905037450667736,0.5292817788769364,-0.2671785072677656,0.408764089026747,-0.2671785072677669,-0.2671785072677661,-0.2573567042517829
Margen Estaciones Terrestres,-0.006775519241125666,0.18226091470955097,0.059918540634101194,0.07656769417944964,-0.15271837964392188,0.30880737960365867,0.4433955095295089,0.09213740206179838,-0.02491230809144796,-0.1642612991084854,0.5095496062177833,0.19095730159181712,0.08146646718814592,0.15416761604987514,0.14311716020938858,0.3230499668181457,0.5514566621458343,1.0,-0.14813596868449946,0.7759960791171113,0.15318545541759013,0.5936730941645837,0.15318545541759046,0.15318545541759113,0.09874275514709104
Margen Estaciones Aéreas,-0.0022643708890486263,0.09698100537904689,0.18678966943559913,0.20904524225768742,-0.0635565144454496,0.17672193283333676,0.20399782374537795,0.04578640003699413,0.11685216583185336,-0.10024328751901414,0.44378971604296585,0.07396161196720458,0.38209608632727077,0.2223172071328689,0.4068871098887873,0.4644262676235748,-0.2905037450667736,-0.14813596868449946,1.0,0.03338460779524275,-0.08245403253304051,0.533945364962921,-0.08245403253304025,-0.0824540325330408,-0.07355308454017276
Flete estaciones de servicio,-0.003943464187562149,0.16388024945207072,0.17760802219124883,0.193477807585737,-0.09876750670352408,0.3081568311656372,0.46768695184774817,0.09501667695306187,0.17968940794184388,-0.1637658610577032,0.5940352677363904,0.10175482052544219,0.15071004806084093,0.05316448394231154,0.25196745012700683,0.4388877040057985,0.5292817788769364,0.7759960791171113,0.03338460779524275,1.0,-0.12679368142477943,0.6195790669141581,-0.12679368142477962,-0.12679368142478054,-0.11940120594144278
Margen Envasador,0.0027365693874838834,0.1041610909648742,-0.2032763143672469,-0.19062883804182038,-0.05435695528122865,0.03305729286632606,-0.11467801897375378,0.059272745281783376,-0.44791195542726614,-0.08028606730954499,-0.11906495167700949,0.11267835977386736,-0.01435581543710992,0.06974991899159601,-0.2711202475174374,-0.254935803371679,-0.2671785072677656,0.15318545541759013,-0.08245403253304051,-0.12679368142477943,1.0,-0.06882040742137709,0.9999999999999943,0.9999999999999977,0.9360982806790742
Precio final en estaciones de servicio,0.001085866528386201,0.12735591499220736,0.2174343514164221,0.23288474456870417,-0.05650702215888004,0.29636901230553053,0.5048318555011244,0.1222473786142344,0.17196600466652975,-0.07180116142219592,0.8313137393372568,0.12564716179834376,0.2294104385060003,0.25280206024505963,0.5251312741636532,0.7184010518481236,0.408764089026747,0.5936730941645837,0.533945364962921,0.6195790669141581,-0.06882040742137709,1.0,-0.06882040742137684,-0.0688204074213767,-0.08286729772701466
Margen Distribuidor y Agencias,0.002736569387483829,0.10416109096487461,-0.20327631436724736,-0.1906288380418208,-0.05435695528122845,0.033057292866326075,-0.11467801897375444,0.05927274528178374,-0.4479119554272638,-0.08028606730954532,-0.11906495167701044,0.11267835977386803,-0.014355815437109884,0.06974991899159644,-0.27112024751743447,-0.2549358033716798,-0.2671785072677669,0.15318545541759046,-0.08245403253304025,-0.12679368142477962,0.9999999999999943,-0.06882040742137684,1.0,0.999999999999992,0.936098280679073
Margen Detallista,0.002736569387483892,0.10416109096487386,-0.20327631436724833,-0.19062883804181976,-0.05435695528122826,0.03305729286632584,-0.11467801897375476,0.05927274528178393,-0.44791195542726703,-0.08028606730954486,-0.11906495167701063,0.11267835977386721,-0.014355815437109771,0.06974991899159502,-0.2711202475174365,-0.2549358033716809,-0.2671785072677661,0.15318545541759113,-0.0824540325330408,-0.12679368142478054,0.9999999999999977,-0.0688204074213767,0.999999999999992,1.0,0.9360982806790804
Precio gas por litro en detallistas,0.009807666485909045,0.11511150748612468,-0.1700666148008495,-0.15784412751392346,-0.07358814879732709,0.04295328830952526,-0.10466739261609645,0.05449633822138172,-0.38890581506822325,-0.07513810856803295,-0.1031121756843229,0.09267397618706749,0.006501528230124201,0.04348133546370677,-0.25942191714766905,-0.23953364750722908,-0.2573567042517829,0.09874275514709104,-0.07355308454017276,-0.11940120594144278,0.9360982806790742,-0.08286729772701466,0.936098280679073,0.9360982806790804,1.0
